GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,PLACEA,PLACECC,PLACEDC,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSCE,TRBL_SUBA,ANRCA,MSA_CMSAA,CMSA,MACCI,PMSAA,NECMAA,NECMACCI,URB_AREAA,UATYPE,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,AREALAND,AREAWATR,NAME,FUNCSTAT,INTPTLAT,INTPLON,LSADC,MACC,UACP,white,black,native,asian,hawaiian,other,multi,white_his,black_his,native_his,asian_his,hawaiian_his,other_his,multi_his
G3601190003500,2000,NY,1,2,New York,36,Westchester,119,,,,,0,003500,003500,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,328246,0,Census Tract 35,S,40911013,-73848340,,,,274,1213,10,87,11,28,82,208,53,4,3,0,363,82
G3601190003600,2000,NY,1,2,New York,36,Westchester,119,,,,,0,003600,003600,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,385215,0,Census Tract 36,S,40913113,-73840561,,,,1257,1094,7,194,5,125,205,545,69,13,4,0,478,78
G3601190003700,2000,NY,1,2,New York,36,Westchester,119,,,,,0,003700,003700,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,607330,0,Census Tract 37,S,40918229,-73843602,,,,1583,1044,4,148,0,61,157,380,28,4,0,0,393,62
G3601190003800,2000,NY,1,2,New York,36,Westchester,119,,,,,0,003800,003800,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,236675,0,Census Tract 38,S,40923672,-73838599,,,,2026,416,4,131,0,23,102,219,22,2,0,7,171,45
G3601190003900,2000,NY,1,2,New York,36,Westchester,119,,,,,0,003900,003900,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,493128,0,Census Tract 39,S,40922209,-73834139,,,,2295,517,4,70,0,49,172,232,21,0,0,0,156,19
G3601190004000,2000,NY,1,2,New York,36,Westchester,119,,,,,0,004000,004000,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,576351,0,Census Tract 40,S,40914020,-73831433,,,,1802,3548,8,96,3,117,257,334,93,11,0,0,208,52
G3601190004100,2000,NY,1,2,New York,36,Westchester,119,,,,,0,004100,004100,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,760040,10646,Census Tract 41,S,40914266,-73820989,,,,567,2575,7,68,1,18,112,146,82,5,0,0,86,41
G3601190004200,2000,NY,1,2,New York,36,Westchester,119,,,,,0,004200,004200,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,660462,0,Census Tract 42,S,40922070,-73825533,,,,1785,1884,11,209,0,41,190,149,45,3,0,0,135,29
G3601190004300,2000,NY,1,2,New York,36,Westchester,119,,,,,0,004300,004300,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,731495,0,Census Tract 43,S,40922649,-73813284,,,,795,714,6,31,0,7,62,72,20,0,0,0,18,15
G3601190004400,2000,NY,1,2,New York,36,Westchester,119,,,,,0,004400,004400,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,1563303,0,Census Tract 44,S,40927143,-73824757,,,,2298,702,5,111,0,16,77,83,16,1,0,0,51,9
G3601190004500,2000,NY,1,2,New York,36,Westchester,119,,,,,0,004500,004500,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,277987,0,Census Tract 45,S,40929046,-73836912,,,,1045,187,1,47,0,8,51,66,12,0,0,0,32,19
G3601190004600,2000,NY,1,2,New York,36,Westchester,119,,,,,0,004600,004600,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,650961,0,Census Tract 46,S,40941601,-73834479,,,,2442,18,2,212,1,8,30,81,0,0,0,0,19,2
G3601190004700,2000,NY,1,2,New York,36,Westchester,119,,,,,0,004700,004700,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,1816001,0,Census Tract 47,S,40939002,-73824639,,,,3428,53,1,104,3,3,46,61,4,0,0,0,18,7
G3601190004800,2000,NY,1,2,New York,36,Westchester,119,,,,,0,004800,004800,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,1578831,0,Census Tract 48,S,40953110,-73823609,,,,4349,588,5,598,1,14,107,246,40,1,8,0,202,52
G3601190004900,2000,NY,1,2,New York,36,Westchester,119,,,,,0,004900,004900,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,226314,0,Census Tract 49,S,40984106,-73811071,,,,2357,59,2,188,0,2,29,117,3,0,0,0,16,12
G3601190005001,2000,NY,1,2,New York,36,Westchester,119,,,,,0,005001,005001,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,1130935,0,Census Tract 50.01,S,40977398,-73801925,,,,2640,8,0,322,3,6,25,59,1,0,0,0,15,5
G3601190005002,2000,NY,1,2,New York,36,Westchester,119,,,,,0,005002,005002,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,3030563,171181,Census Tract 50.02,S,40966929,-73809003,,,,3693,23,1,250,1,3,31,59,0,0,1,0,11,1
