GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,PLACEA,PLACECC,PLACEDC,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSCE,TRBL_SUBA,ANRCA,MSA_CMSAA,CMSA,MACCI,PMSAA,NECMAA,NECMACCI,URB_AREAA,UATYPE,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,AREALAND,AREAWATR,NAME,FUNCSTAT,INTPTLAT,INTPLON,LSADC,MACC,UACP,white,black,native,asian,hawaiian,other,multi,white_his,black_his,native_his,asian_his,hawaiian_his,other_his,multi_his
G3600010000100,2000,NY,1,2,New York,36,Albany,001,,,,,0,000100,000100,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,2355033,235376,Census Tract 1,S,42670229,-73737914,,,,683,839,1,47,2,6,56,23,33,0,0,0,35,3
G3600010000200,2000,NY,1,2,New York,36,Albany,001,,,,,0,000200,000200,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,2082995,0,Census Tract 2,S,42661579,-73751882,,,,705,4084,4,102,9,10,176,109,134,2,0,0,111,45
G3600010000300,2000,NY,1,2,New York,36,Albany,001,,,,,0,000300,000300,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,5713119,24036,Census Tract 3,S,42680678,-73780415,,,,3049,1906,7,150,2,14,112,106,64,7,0,2,106,35
G3600010000401,2000,NY,1,2,New York,36,Albany,001,,,,,0,000401,000401,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,9093518,64623,Census Tract 4.01,S,42706253,-73863199,,,,1834,144,4,62,0,3,19,33,7,1,3,0,12,5
G3600010000403,2000,NY,1,2,New York,36,Albany,001,,,,,0,000403,000403,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,3299377,0,Census Tract 4.03,S,42675278,-73800854,,,,3720,300,7,171,1,9,79,59,17,3,0,0,39,6
G3600010000404,2000,NY,1,2,New York,36,Albany,001,,,,,0,000404,000404,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,1699598,72137,Census Tract 4.04,S,42692101,-73828396,,,,3328,622,4,498,0,17,75,133,29,3,4,0,172,37
G3600010000501,2000,NY,1,2,New York,36,Albany,001,,,,,0,000501,000501,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,550160,0,Census Tract 5.01,S,42671328,-73783324,,,,1939,1064,9,95,2,3,122,89,41,2,1,0,104,35
G3600010000502,2000,NY,1,2,New York,36,Albany,001,,,,,0,000502,000502,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,776247,0,Census Tract 5.02,S,42667779,-73787044,,,,2757,416,14,148,2,4,69,114,5,2,0,1,48,9
G3600010000600,2000,NY,1,2,New York,36,Albany,001,,,,,0,000600,000600,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,524954,0,Census Tract 6,S,42663979,-73773195,,,,1629,1049,7,170,1,6,153,120,53,3,0,3,84,18
G3600010000700,2000,NY,1,2,New York,36,Albany,001,,,,,0,000700,000700,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,1656134,2458,Census Tract 7,S,42668329,-73767535,,,,637,3047,25,67,0,16,139,42,79,2,2,0,55,28
G3600010000800,2000,NY,1,2,New York,36,Albany,001,,,,,0,000800,000800,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,353191,0,Census Tract 8,S,42659879,-73765164,,,,586,1404,17,31,0,3,78,60,25,5,0,0,44,31
G3600010001100,2000,NY,1,2,New York,36,Albany,001,,,,,0,001100,001100,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,1827962,165404,Census Tract 11,S,42652379,-73750173,,,,550,552,6,26,0,3,39,30,10,0,1,0,33,6
G3600010001400,2000,NY,1,2,New York,36,Albany,001,,,,,0,001400,001400,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,766413,17672,Census Tract 14,S,42655729,-73765379,,,,2754,384,19,166,1,7,77,71,20,4,1,0,76,30
G3600010001500,2000,NY,1,2,New York,36,Albany,001,,,,,0,001500,001500,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,588247,0,Census Tract 15,S,42658129,-73783188,,,,3265,490,10,201,2,13,114,82,10,2,2,0,60,31
G3600010001600,2000,NY,1,2,New York,36,Albany,001,,,,,0,001600,001600,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,927094,0,Census Tract 16,S,42658529,-73789877,,,,3243,444,6,144,0,6,81,71,20,5,1,0,71,14
G3600010001700,2000,NY,1,2,New York,36,Albany,001,,,,,0,001700,001700,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,1349115,0,Census Tract 17,S,42662628,-73797596,,,,3256,335,14,134,0,10,66,69,6,4,2,0,49,20
G3600010001801,2000,NY,1,2,New York,36,Albany,001,,,,,0,001801,001801,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,7603825,26355,Census Tract 18.01,S,42657178,-73814196,,,,6173,270,1,180,0,7,73,60,7,1,0,0,41,15
G3600010001802,2000,NY,1,2,New York,36,Albany,001,,,,,0,001802,001802,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,1964880,0,Census Tract 18.02,S,42672378,-73822886,,,,3449,178,2,102,0,3,40,67,14,1,1,0,8,3
G3600010001901,2000,NY,1,2,New York,36,Albany,001,,,,,0,001901,001901,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,853889,0,Census Tract 19.01,S,42652979,-73794265,,,,2346,136,1,69,1,5,38,24,6,6,0,0,6,18
G3600010001902,2000,NY,1,2,New York,36,Albany,001,,,,,0,001902,001902,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,1219419,0,Census Tract 19.02,S,42644629,-73796030,,,,2286,126,2,84,1,3,26,32,4,0,1,0,7,7
G3600010002000,2000,NY,1,2,New York,36,Albany,001,,,,,0,002000,002000,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,2976175,0,Census Tract 20,S,42636579,-73783956,,,,3728,1350,2,128,0,11,123,122,48,3,2,0,112,50
G3600010002100,2000,NY,1,2,New York,36,Albany,001,,,,,0,002100,002100,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,1419213,0,Census Tract 21,S,42652979,-73772517,,,,1864,995,17,131,1,7,122,80,28,3,1,0,89,40
G3600010002200,2000,NY,1,2,New York,36,Albany,001,,,,,0,002200,002200,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,236595,0,Census Tract 22,S,42650029,-73765264,,,,1306,547,13,76,0,11,68,74,14,0,0,1,65,38
G3600010002300,2000,NY,1,2,New York,36,Albany,001,,,,,0,002300,002300,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,662831,0,Census Tract 23,S,42644729,-73761211,,,,690,1027,6,10,2,8,63,62,62,3,1,0,80,20
G3600010002500,2000,NY,1,2,New York,36,Albany,001,,,,,0,002500,002500,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,687083,114555,Census Tract 25,S,42641079,-73756184,,,,647,1860,16,29,0,12,86,80,76,3,0,0,147,24
G3600010002600,2000,NY,1,2,New York,36,Albany,001,,,,,0,002600,002600,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,4182076,482868,Census Tract 26,S,42633826,-73766544,,,,2035,2473,19,68,0,20,148,112,61,3,4,0,189,39
G3600010012700,2000,NY,1,2,New York,36,Albany,001,,,,,0,012700,012700,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,1498673,667242,Census Tract 127,S,42770441,-73689803,,,,2294,30,2,41,0,4,12,9,4,1,0,0,8,2
G3600010012800,2000,NY,1,2,New York,36,Albany,001,,,,,0,012800,012800,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,1596427,178561,Census Tract 128,S,42767394,-73700294,,,,3300,107,11,18,0,8,62,75,8,2,0,1,15,4
G3600010012900,2000,NY,1,2,New York,36,Albany,001,,,,,0,012900,012900,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,1500130,403747,Census Tract 129,S,42777627,-73705691,,,,3022,106,2,6,0,6,45,64,6,2,0,0,38,14
G3600010013000,2000,NY,1,2,New York,36,Albany,001,,,,,0,013000,013000,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,5101140,43043,Census Tract 130,S,42777578,-73717432,,,,5966,70,5,41,4,1,43,37,4,0,0,1,11,9
G3600010013100,2000,NY,1,2,New York,36,Albany,001,,,,,0,013100,013100,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,1808667,575266,Census Tract 131,S,42744178,-73694219,,,,2196,28,3,7,0,1,26,11,2,0,1,0,1,2
G3600010013200,2000,NY,1,2,New York,36,Albany,001,,,,,0,013200,013200,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,849911,154277,Census Tract 132,S,42729678,-73702281,,,,3008,76,6,34,1,8,47,104,17,2,12,0,43,8
G3600010013300,2000,NY,1,2,New York,36,Albany,001,,,,,0,013300,013300,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,1422306,0,Census Tract 133,S,42730128,-73709062,,,,3741,224,6,78,0,15,42,52,14,3,1,0,34,11
G3600010013400,2000,NY,1,2,New York,36,Albany,001,,,,,0,013400,013400,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,1202527,239497,Census Tract 134,S,42712845,-73708053,,,,2448,55,1,12,7,3,26,37,9,0,0,0,20,2
G3600010013502,2000,NY,1,2,New York,36,Albany,001,,,,,0,013502,013502,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,23413818,2526300,Census Tract 135.02,S,42765705,-73776954,,,,7744,238,4,454,1,11,83,96,17,1,2,0,53,16
G3600010013503,2000,NY,1,2,New York,36,Albany,001,,,,,0,013503,013503,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,11469028,1203933,Census Tract 135.03,S,42771911,-73728938,,,,3263,113,9,199,1,4,48,27,2,0,0,0,11,3
G3600010013505,2000,NY,1,2,New York,36,Albany,001,,,,,0,013505,013505,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,2983487,10099,Census Tract 135.05,S,42742278,-73750535,,,,2738,11,1,26,1,2,30,12,1,1,0,0,8,3
G3600010013506,2000,NY,1,2,New York,36,Albany,001,,,,,0,013506,013506,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,8348008,18646,Census Tract 135.06,S,42747273,-73718371,,,,5554,144,10,244,0,9,76,78,2,0,0,0,19,14
G3600010013601,2000,NY,1,2,New York,36,Albany,001,,,,,0,013601,013601,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,13696500,131202,Census Tract 136.01,S,42716028,-73732636,,,,6820,289,12,417,3,19,77,100,15,3,7,0,37,14
G3600010013602,2000,NY,1,2,New York,36,Albany,001,,,,,0,013602,013602,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,8271904,560620,Census Tract 136.02,S,42693245,-73727068,,,,3229,347,5,168,0,5,57,53,9,0,2,0,32,10
G3600010013703,2000,NY,1,2,New York,36,Albany,001,,,,,0,013703,013703,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,16197711,54399,Census Tract 137.03,S,42740915,-73812866,,,,2329,504,4,44,0,0,10,6,1,0,0,0,69,8
G3600010013705,2000,NY,1,2,New York,36,Albany,001,,,,,0,013705,013705,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,8525270,20664,Census Tract 137.05,S,42700778,-73782676,,,,6286,197,14,154,0,7,47,44,6,3,5,0,17,11
G3600010013706,2000,NY,1,2,New York,36,Albany,001,,,,,0,013706,013706,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,2753153,80763,Census Tract 137.06,S,42696628,-73760803,,,,1931,27,0,60,0,1,15,47,3,0,0,0,19,3
G3600010013707,2000,NY,1,2,New York,36,Albany,001,,,,,0,013707,013707,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,8195412,0,Census Tract 137.07,S,42720684,-73776813,,,,5791,105,10,285,0,7,45,67,14,7,1,0,21,17
G3600010013801,2000,NY,1,2,New York,36,Albany,001,,,,,0,013801,013801,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,20888152,10550,Census Tract 138.01,S,42751128,-73874012,,,,6542,325,12,155,0,6,64,57,16,1,1,0,34,12
G3600010013802,2000,NY,1,2,New York,36,Albany,001,,,,,0,013802,013802,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,5478606,4774,Census Tract 138.02,S,42764627,-73844075,,,,3805,106,1,122,5,3,23,39,9,0,0,0,6,9
G3600010013901,2000,NY,1,2,New York,36,Albany,001,,,,,0,013901,013901,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,4042114,19386,Census Tract 139.01,S,42714792,-73837814,,,,2421,111,3,66,0,2,26,32,1,1,0,0,2,6
G3600010013902,2000,NY,1,2,New York,36,Albany,001,,,,,0,013902,013902,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,4512248,0,Census Tract 139.02,S,42725010,-73832687,,,,4762,163,3,178,2,3,50,42,5,0,0,0,27,10
G3600010014001,2000,NY,1,2,New York,36,Albany,001,,,,,0,014001,014001,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,4073705,10512,Census Tract 140.01,S,42699828,-73814004,,,,3497,192,6,202,0,10,47,47,5,1,0,0,17,3
G3600010014002,2000,NY,1,2,New York,36,Albany,001,,,,,0,014002,014002,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,2369053,0,Census Tract 140.02,S,42691628,-73794293,,,,4262,154,6,51,0,3,54,50,5,1,0,0,17,3
G3600010014100,2000,NY,1,2,New York,36,Albany,001,,,,,0,014100,014100,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,15779548,0,Census Tract 141,S,42651411,-73840606,,,,4675,82,6,126,3,5,29,66,4,3,0,0,10,2
G3600010014201,2000,NY,1,2,New York,36,Albany,001,,,,,0,014201,014201,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,12493864,20250,Census Tract 142.01,S,42617430,-73800107,,,,5420,66,8,80,2,3,51,75,3,0,0,0,21,7
G3600010014202,2000,NY,1,2,New York,36,Albany,001,,,,,0,014202,014202,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,7902911,0,Census Tract 142.02,S,42621283,-73856829,,,,5127,67,5,73,0,4,30,52,0,1,0,0,5,7
G3600010014203,2000,NY,1,2,New York,36,Albany,001,,,,,0,014203,014203,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,10991309,0,Census Tract 142.03,S,42611479,-73836179,,,,5702,72,3,90,2,3,43,65,0,1,0,0,22,0
G3600010014301,2000,NY,1,2,New York,36,Albany,001,,,,,0,014301,014301,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,32328203,1976619,Census Tract 143.01,S,42559080,-73785847,,,,2228,291,5,5,0,4,27,84,10,3,0,0,6,17
G3600010014302,2000,NY,1,2,New York,36,Albany,001,,,,,0,014302,014302,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,46925706,0,Census Tract 143.02,S,42572414,-73830686,,,,6104,107,11,147,3,6,45,58,4,1,0,3,8,6
G3600010014401,2000,NY,1,2,New York,36,Albany,001,,,,,0,014401,014401,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,126479759,7552872,Census Tract 144.01,S,42491614,-73872131,,,,4506,75,8,12,1,0,56,79,1,1,0,0,31,12
G3600010014402,2000,NY,1,2,New York,36,Albany,001,,,,,0,014402,014402,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,3468520,0,Census Tract 144.02,S,42476276,-73814212,,,,3063,92,6,21,1,1,45,64,6,3,1,0,32,34
G3600010014501,2000,NY,1,2,New York,36,Albany,001,,,,,0,014501,014501,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,56322661,50578,Census Tract 145.01,S,42645833,-73952784,,,,2288,1,1,7,0,0,17,8,0,0,0,0,2,0
G3600010014502,2000,NY,1,2,New York,36,Albany,001,,,,,0,014502,014502,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,88542012,806035,Census Tract 145.02,S,42582563,-73929533,,,,3493,12,8,20,0,0,21,25,1,1,0,0,13,3
G3600010014503,2000,NY,1,2,New York,36,Albany,001,,,,,0,014503,014503,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,5526963,0,Census Tract 145.03,S,42649660,-73929145,,,,2632,10,7,16,0,2,16,22,0,0,0,0,0,0
G3600010014606,2000,NY,1,2,New York,36,Albany,001,,,,,0,014606,014606,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,17573324,27749,Census Tract 146.06,S,42744892,-73957773,,,,3370,45,1,42,1,1,31,35,4,1,6,0,15,2
G3600010014607,2000,NY,1,2,New York,36,Albany,001,,,,,0,014607,014607,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,22010885,91846,Census Tract 146.07,S,42730378,-73909971,,,,7138,114,12,87,0,17,46,81,4,3,0,0,21,5
G3600010014608,2000,NY,1,2,New York,36,Albany,001,,,,,0,014608,014608,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,4032836,0,Census Tract 146.08,S,42690924,-73857363,,,,2621,64,1,69,1,1,19,28,3,0,0,0,15,8
G3600010014609,2000,NY,1,2,New York,36,Albany,001,,,,,0,014609,014609,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,6511509,0,Census Tract 146.09,S,42675290,-73846053,,,,4223,168,3,350,0,9,47,67,7,0,0,0,12,12
G3600010014610,2000,NY,1,2,New York,36,Albany,001,,,,,0,014610,014610,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,12871447,173369,Census Tract 146.10,S,42690211,-73891951,,,,6242,279,9,608,1,9,74,116,12,1,2,0,19,14
G3600010014611,2000,NY,1,2,New York,36,Albany,001,,,,,0,014611,014611,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,15749402,113288,Census Tract 146.11,S,42685645,-73930777,,,,1641,37,2,42,0,2,20,18,2,1,0,0,3,7
G3600010014612,2000,NY,1,2,New York,36,Albany,001,,,,,0,014612,014612,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,3099338,0,Census Tract 146.12,S,42705326,-74033487,,,,1683,19,0,2,1,0,14,13,0,0,0,0,3,2
G3600010014613,2000,NY,1,2,New York,36,Albany,001,,,,,0,014613,014613,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,68172464,1588692,Census Tract 146.13,S,42700887,-74001468,,,,2797,62,12,40,0,1,25,24,0,1,0,0,10,8
G3600010014700,2000,NY,1,2,New York,36,Albany,001,,,,,0,014700,014700,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,108198752,362099,Census Tract 147,S,42689062,-74102911,,,,2574,20,5,13,2,2,23,5,0,0,0,0,0,3
G3600010014801,2000,NY,1,2,New York,36,Albany,001,,,,,0,014801,014801,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,166069063,1646865,Census Tract 148.01,S,42597360,-74123648,,,,2775,11,0,11,2,0,25,11,0,0,0,0,7,4
G3600010014802,2000,NY,1,2,New York,36,Albany,001,,,,,0,014802,014802,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,159189058,1021000,Census Tract 148.02,S,42479556,-74172023,,,,1825,37,1,3,0,6,20,13,1,0,0,0,9,0
G3600010014803,2000,NY,1,2,New York,36,Albany,001,,,,,0,014803,014803,,,,,,,,,,,0160,99,N,9999,9999,9,,,,,,,,149910916,1737335,Census Tract 148.03,S,42511316,-74045999,,,,3378,19,4,7,0,3,23,28,0,0,0,0,2,2
G3600030940200,2000,NY,1,2,New York,36,Allegany,003,,,,,0,940200,940200,,,,,,,,,,,9999,99,9,9999,9999,9,,,,,,,,1546682,30313,Census Tract 9402,S,42235083,-78308323,,,,8,0,0,0,0,0,1,0,0,0,0,0,0,0
G3600030950100,2000,NY,1,2,New York,36,Allegany,003,,,,,0,950100,950100,,,,,,,,,,,9999,99,9,9999,9999,9,,,,,,,,330551559,729796,Census Tract 9501,S,42401856,-77822125,,,,2578,5,15,15,0,3,16,8,0,4,0,0,9,4
G3600030950200,2000,NY,1,2,New York,36,Allegany,003,,,,,0,950200,950200,,,,,,,,,,,9999,99,9,9999,9999,9,,,,,,,,368701219,2249223,Census Tract 9502,S,42390287,-78036626,,,,3387,7,23,6,0,1,25,12,0,3,0,0,0,7
G3600030950300,2000,NY,1,2,New York,36,Allegany,003,,,,,0,950300,950300,,,,,,,,,,,9999,99,9,9999,9999,9,,,,,,,,231846362,2052468,Census Tract 9503,S,42470949,-78186399,,,,4750,31,11,33,0,0,32,37,0,1,0,0,32,5
G3600030950400,2000,NY,1,2,New York,36,Allegany,003,,,,,0,950400,950400,,,,,,,,,,,9999,99,9,9999,9999,9,,,,,,,,335990479,2945555,Census Tract 9504,S,42317972,-78199416,,,,3940,4,11,5,0,0,30,13,1,1,0,0,6,5
G3600030950500,2000,NY,1,2,New York,36,Allegany,003,,,,,0,950500,950500,,,,,,,,,,,9999,99,9,9999,9999,9,,,,,,,,131085809,1755050,Census Tract 9505,S,42196532,-78244000,,,,3881,12,5,11,0,11,33,23,0,3,0,0,3,5
G3600030950600,2000,NY,1,2,New York,36,Allegany,003,,,,,0,950600,950600,,,,,,,,,,,9999,99,9,9999,9999,9,,,,,,,,155236645,142688,Census Tract 9506,S,42220412,-78063020,,,,3629,50,3,4,1,3,41,15,0,1,1,0,10,0
G3600030950700,2000,NY,1,2,New York,36,Allegany,003,,,,,0,950700,950700,,,,,,,,,,,9999,99,9,9999,9999,9,,,,,,,,92682442,75132,Census Tract 9507,S,42156574,-77938388,,,,3944,32,7,62,0,6,46,14,0,7,0,0,5,1
G3600030950800,2000,NY,1,2,New York,36,Allegany,003,,,,,0,950800,950800,,,,,,,,,,,9999,99,9,9999,9999,9,,,,,,,,200557601,293148,Census Tract 9508,S,42275733,-77833882,,,,5780,169,14,150,1,8,39,42,11,2,1,0,49,16
G3600030950900,2000,NY,1,2,New York,36,Allegany,003,,,,,0,950900,950900,,,,,,,,,,,9999,99,9,9999,9999,9,,,,,,,,205820959,181543,Census Tract 9509,S,42133282,-77815851,,,,3816,10,6,13,0,0,36,19,0,0,0,0,9,1
G3600030951000,2000,NY,1,2,New York,36,Allegany,003,,,,,0,951000,951000,,,,,,,,,,,9999,99,9,9999,9999,9,,,,,,,,203542673,231986,Census Tract 9510,S,42054531,-77915568,,,,3325,9,5,25,0,1,32,9,0,3,0,0,8,0
G3600030951100,2000,NY,1,2,New York,36,Allegany,003,,,,,0,951100,951100,,,,,,,,,,,9999,99,9,9999,9999,9,,,,,,,,154287516,40309,Census Tract 9511,S,42088900,-78034047,,,,3952,7,8,23,0,2,35,14,0,1,0,0,7,1
G3600030951200,2000,NY,1,2,New York,36,Allegany,003,,,,,0,951200,951200,,,,,,,,,,,9999,99,9,9999,9999,9,,,,,,,,256406554,152615,Census Tract 9512,S,42079234,-78187092,,,,5232,13,3,9,0,4,28,16,0,2,0,0,6,1
G3600050000100,2000,NY,1,2,New York,36,Bronx,005,,,,,0,000100,000100,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,1672052,997974,Census Tract 1,S,40791982,-73875217,,,,1091,7741,17,33,22,418,15,493,156,23,32,1,2730,8
G3600050000200,2000,NY,1,2,New York,36,Bronx,005,,,,,0,000200,000200,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,450754,1009796,Census Tract 2,S,40810047,-73857962,,,,209,771,6,18,0,19,58,927,137,21,1,9,1210,159
G3600050000400,2000,NY,1,2,New York,36,Bronx,005,,,,,0,000400,000400,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,725168,748846,Census Tract 4,S,40810561,-73854074,,,,174,717,6,71,12,40,39,1021,210,10,17,0,887,110
G3600050000500,2000,NY,1,2,New York,36,Bronx,005,,,,,0,000500,000500,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,81423,267478,Census Tract 5,S,40800805,-73898477,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G3600050001100,2000,NY,1,2,New York,36,Bronx,005,,,,,0,001100,001100,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,424210,0,Census Tract 11,S,40802851,-73911201,,,,46,176,4,12,0,2,12,148,22,2,0,0,110,25
G3600050001500,2000,NY,1,2,New York,36,Bronx,005,,,,,0,001500,001500,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,73043,0,Census Tract 15,S,40803346,-73917805,,,,0,2,0,0,0,0,0,7,0,0,0,0,10,0
G3600050001600,2000,NY,1,2,New York,36,Bronx,005,,,,,0,001600,001600,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,475826,0,Census Tract 16,S,40818514,-73858933,,,,250,1568,23,34,2,27,83,1556,229,28,12,5,1156,264
G3600050001700,2000,NY,1,2,New York,36,Bronx,005,,,,,0,001700,001700,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,245733,0,Census Tract 17,S,40805344,-73924389,,,,45,276,1,2,1,1,17,166,47,2,0,0,426,22
G3600050002000,2000,NY,1,2,New York,36,Bronx,005,,,,,0,002000,002000,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,398532,0,Census Tract 20,S,40817611,-73865445,,,,130,3773,10,46,3,29,137,1559,676,55,11,5,2310,324
G3600050002300,2000,NY,1,2,New York,36,Bronx,005,,,,,0,002300,002300,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,100212,0,Census Tract 23,S,40809573,-73926483,,,,50,1517,9,8,0,7,35,870,271,19,5,0,1382,165
G3600050002400,2000,NY,1,2,New York,36,Bronx,005,,,,,0,002400,002400,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,683899,250519,Census Tract 24,S,40822712,-73872037,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G3600050002500,2000,NY,1,2,New York,36,Bronx,005,,,,,0,002500,002500,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,114924,0,Census Tract 25,S,40806847,-73920251,,,,40,963,9,31,0,10,18,1307,212,48,5,3,2222,241
G3600050002701,2000,NY,1,2,New York,36,Bronx,005,,,,,0,002701,002701,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,87521,0,Census Tract 27.01,S,40803858,-73915284,,,,14,1016,2,2,0,12,20,838,254,38,5,7,669,156
G3600050002702,2000,NY,1,2,New York,36,Bronx,005,,,,,0,002702,002702,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,157230,0,Census Tract 27.02,S,40806364,-73913058,,,,54,1089,10,1,4,2,29,1148,298,45,1,18,1779,258
G3600050002800,2000,NY,1,2,New York,36,Bronx,005,,,,,0,002800,002800,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,417160,26232,Census Tract 28,S,40822464,-73879076,,,,70,4331,16,8,3,4,131,391,182,4,1,0,510,67
G3600050003100,2000,NY,1,2,New York,36,Bronx,005,,,,,0,003100,003100,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,139757,0,Census Tract 31,S,40810222,-73906135,,,,24,294,3,2,0,0,21,426,110,5,0,0,496,97
G3600050003300,2000,NY,1,2,New York,36,Bronx,005,,,,,0,003300,003300,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,149918,0,Census Tract 33,S,40808354,-73912452,,,,46,633,17,5,4,2,26,574,234,42,2,1,1257,273
G3600050003500,2000,NY,1,2,New York,36,Bronx,005,,,,,0,003500,003500,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,141803,0,Census Tract 35,S,40810909,-73908360,,,,24,843,9,6,0,1,37,722,169,36,0,0,1434,192
